country,index_safety
Iceland,1.1
New Zealand,1.253
Denmark,1.256
Portugal,1.267
Slovenia,1.315
Austria,1.317
Switzerland,1.323
Ireland,1.326
Czechia,1.329
Canada,1.33
Singapore,1.347
Japan,1.373
Finland,1.402
Norway,1.438
Sweden,1.46
Australia,1.47
Croatia,1.48
Germany,1.48
Hungary,1.494
Belgium,1.496
Netherlands,1.506
Bhutan,1.51
Malaysia,1.515
Poland,1.524
Romania,1.53
Slovakia,1.557
Bulgaria,1.577
Mauritius,1.592
Qatar,1.605
Estonia,1.612
Spain,1.621
Italy,1.652
United Kingdom of Great Britain and Northern Ireland,1.658
Taiwan,1.662
Latvia,1.686
Kuwait,1.688
Lithuania,1.689
Ghana,1.715
Costa Rica,1.735
North Macedonia,1.744
Botswana,1.753
Indonesia,1.783
Mongolia,1.783
Serbia,1.797
Lao People's Democratic Republic,1.809
Sierra Leone,1.813
Uruguay,1.817
Albania,1.824
Chile,1.831
Viet Nam,1.835
Montenegro,1.847
United Arab Emirates,1.848
Gambia,1.853
Senegal,1.864
France,1.868
Timor-Leste,1.873
"Korea, Republic of",1.877
"Tanzania, United Republic of",1.892
Malawi,1.909
"Moldova, Republic of",1.909
Cyprus,1.912
Equatorial Guinea,1.915
Jordan,1.916
Panama,1.919
Namibia,1.927
Greece,1.932
Kazakhstan,1.936
Argentina,1.945
Eswatini,1.955
Madagascar,1.963
Zambia,1.964
Bosnia and Herzegovina,1.97
Oman,1.982
Jamaica,1.992
Paraguay,1.997
Kyrgyzstan,1.998
Liberia,1.998
Cambodia,2.008
Morocco,2.015
Angola,2.017
Kosovo,2.017
Dominican Republic,2.024
Rwanda,2.028
Trinidad and Tobago,2.029
Nepal,2.033
Peru,2.034
Cuba,2.042
Ecuador,2.044
Georgia,2.054
Uzbekistan,2.062
Bangladesh,2.068
Guinea,2.069
Gabon,2.074
Armenia,2.075
Sri Lanka,2.083
Benin,2.093
Tajikistan,2.095
Tunisia,2.108
Guinea-Bissau,2.113
China,2.114
Guyana,2.114
Bahrain,2.121
C̫te d'Ivoire,2.123
Mozambique,2.123
Bolivia (Plurinational State of),2.14
Djibouti,2.146
Papua New Guinea,2.149
Haiti,2.151
Turkmenistan,2.154
El Salvador,2.184
Guatemala,2.195
Lesotho,2.202
Thailand,2.205
Uganda,2.219
Togo,2.239
Kenya,2.254
Belarus,2.285
Mauritania,2.29
Congo,2.291
Algeria,2.31
Azerbaijan,2.334
United States of America,2.337
South Africa,2.344
Honduras,2.371
Saudi Arabia,2.376
Egypt,2.397
Philippines,2.417
Brazil,2.43
Burundi,2.434
Nicaragua,2.445
Myanmar,2.457
Chad,2.489
Zimbabwe,2.49
Burkina Faso,2.527
India,2.553
Eritrea,2.555
Niger,2.589
Palestine,2.61
Ethiopia,2.613
Mexico,2.62
Israel,2.633
Iran (Islamic Republic of),2.637
Ukraine,2.66
Colombia,2.694
Cameroon,2.7
Nigeria,2.712
Lebanon,2.797
Mali,2.813
Turkey,2.843
Pakistan,2.868
Korea (Democratic People's Republic of),2.923
Venezuela (Bolivarian Republic of),2.934
Sudan,2.936
Russian Federation,2.993
Central African Republic,3.131
Libya,3.166
"Congo, Democratic Republic of the",3.196
Somalia,3.211
Iraq,3.257
South Sudan,3.363
Syrian Arab Republic,3.371
Yemen,3.407
Afghanistan,3.631
